Scientific,English,code
Cottus gobio,european bullhead,Cogo
Salmo trutta fario,brown trout,Satr
Phoxinus phoxinus,minnow,Phph
Nemacheilus barbatulus,stone loach,Neba
Thymallus thymallus,grayling,Thth
Telestes soufia agassizi,blageon,Teso
Chondrostoma nasus,nase,Chna
Chondostroma toxostoma,toxostoma,Chto
Leuciscus leuciscus,common dace,Lele
Leuciscus cephalus cephalus,chub,Lece
Barbus barbus,barbel,Baba
Spirlinus bipunctatus,spirlin,Spbi
Gobio gobio,gudgeon,Gogo
Esox lucius,pike,Eslu
Perca fluviatilis,perch,Pefl
Rhodeus amarus,bitterling,Rham
Lepomis gibbosus,pumpkinseed,Legi
Scardinius erythrophtalmus,rudd,Scer
Cyprinus carpio,carp,Cyca
Tinca tinca,tench,Titi
Abramis brama,freshwater bream,Abbr
Ictalurus melas,black bullhead,Icme
Acerina cernua,ruffe,Acce
Rutilus rutilus,roach,Ruru
Blicca bjoerkna,silver bream,Blbj
Alburnus alburnus,bleak,Alal
Anguilla anguilla,eel,Anan
